時間戳記,專案名稱,專案階段,問題類別,遇到的困難 / 痛點描述,當下處理方式 (應變措施),事後結論與改善建議,AI 檢索關鍵字 (Tag),相關文件/範例連結,填寫者
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,權責分工與溝通,工項職權分配不清，大PM與協助PM不曉得如何分工，導致互相踢皮球、想到什麼做什麼。活動前夕仍有大量不確定事項。,由協助同仁緊急介入，趕工盤點並製作期程表、細流分工、主持人稿及行前說明會簡報，硬撐hold住現場。,專案啟動前，PM及主管必須確實完成「全案期程表」並確認分工。期程較短（1.5個月內）的活動避免獨立作業，落實進度追蹤。,"專案分工, 職責不清, 專案期程表, 進度延誤, 備品清單",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,廠商與硬體管理,PM活動前一周仍未與硬體廠商（雅歌）確認保留好外縣市活動檔期，口頭詢問易有漏洞。,透過同仁朋友緊急介紹救火的硬體廠商，因價格較市面低，特別壓低預算配合。,不要只透過電話預約時間，必須留下文字存證確認預留檔期；若要開發外縣市廠商應提早設定，避免臨時尬場。,"廠商遲到, 硬體發包, 廠商檔期, 臨時調度, 雅歌",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,行政與核銷/文宣,服務建議書寫死獎品品牌規格。事後變更未及時跟業主（科長）確認，且文宣在接手前已宣傳出去，導致不得不花大錢買原定獎品，無法省預算。,因事前未找到足夠理由說服科長更換，且對外文宣已公開，最終維持原規劃採購。,撰寫服務建議書時獎品切勿寫死（保留彈性）。若有修正應及時於工作會議向業主提報，且對外文宣發布前必須與細流再三對照。,"服務建議書, 獎品採購, 規格寫死, 變更品項, 文宣出錯",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,廠商與硬體管理,攤位招牌（攤招）上沒有標註號碼，現場民眾與攤商很難找到對應位置。,現場人工指引協助。,未來攤招一律加上號碼，PM及設計均須記得安排攤位號碼。,"攤位號碼, 攤商規劃, 攤招設計, 現場動線",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,行政與核銷/文宣,到現場才發現宣傳或啟動儀式用的「手拿板/手舉牌」尺寸過大或過小，現場效果不佳。,現場硬著頭皮使用。,制定戶外及室內場珍珠版最佳效果尺寸範圍。發包時請設計協助評估手舉牌合適尺寸（如：動物友善偏小、商圈輔導過大）。,"手舉牌, 手拿板尺寸, 啟動儀式, 道具設計",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,行政與核銷/文宣,場地圖設計發包印製出來後太小，現場根本看不清楚。,現場克難使用。,發包設計需求時需附上該圖使用的實際區域與用途，若有預算應製作大型Truss配置圖，無預算至少安排A3以上或X展架。,"場地圖太小, 設計輸出, Truss配置圖, 展架",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,1. 準備期/籌備期,流程與時間掌控,承辦休假、科內無人當負責人，導致設計審核嚴重Delay。活動前三天才開工作會議，甚至前兩天還在改攤名、logo，前一天印刷品才到。,連假/活動前夕緊急追趕印刷與修改進度。,PM應與科內討論指定「審核通過時間」與「最後修改截止時間」，並請同仁整理印刷廠所需安全製程時間，避免重工與延宕。,"審核Delay, 進度嚴重落後, 修改Logo, 印刷時間",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,記者會報到時，舞台區連結到長官報到處因音響配線廠商施工不細心，地面電線凸起未妥善固定，導致一對母女絆倒跌飛。,現場人員即時關心民眾傷勢，並緊急調配 2 個三角錐放置在凸起區域作提醒。,走線區域必須規劃明顯標示。發包時應嚴格要求音響硬體廠商進行電線黏貼固定，並在活動開始前完成安全檢查。,"民眾跌倒, 電線固定, 三角錐, 現場安全, 音響廠商",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,人力與物資調度,同時要處理3位表演團體領據和付款，且有人無法待到表定時間（下午3點半），導致PM奔波、負責發錢的同仁和嘉賓捉迷藏。,PM空檔緊急先抽身支付帳款給該名提早離開的表演團體。,應在活動前將嘉賓/廠商窗口資料pass給負責同仁，並在群組事先聯繫約定簽領地點；優先與團隊協調好現場付款或事後匯款時間。,"表演團體領據, 現金付款, 窗口對接, 現場發錢",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,活動未規劃防止重複領取機制，導致攤位小朋友一直重覆拿取闖關卡、重複完成15格集章活動領取禮品。,當下因對方有完成集章，仍依規定兌換給他們。,活動初期應規劃防重複領取機制（如蓋章、對身分、對手環），未來可與科內討論更好的發放方式。,"重複領取, 闖關卡發放, 集章漏洞, 貪小便宜",,Julia
